WH Name,Variacion absoluta,inventario
NTW - DALLAS FT WORTH TX,8681.22,6233679.30
NTW - CHARLESTON-HUNTINGT,-61.51,2792104.07
NTW - INDIANAPOLIS IN,-291.49,2949915.79
NTW - BURLINGTON PLATTSBU,-1919.88,6644056.07
NTW - TULSA OK,-11254.89,3306183.17
NTW - CHICAGO IL,689.52,2840898.79
NTW - CHICAGO IL,-488.28,4101527.88
NTW - ALBUQUERQUE SANTA F,120.13,1723076.27
NTW - TALLAHASSEE THOMASV,-2964.41,2409489.59
NTW - CHAMPAIGN&SPRNGFLD-,-18718.71,2986897.94
NTW - ST. LOUIS MO,1996.79,5094623.35
NTW - NEW YORK NJ,-25.94,3844891.52
NTW - NEW YORK NY,-435.14,2641580.87
NTW - BATON ROUGE LA,2523.52,3633221.15
NTW - SPRINGFIELD MO,11326.66,8338145.64
NTW - SHREVEPORT LA,1173.76,2095182.24
NTW - LOS ANGELES CA,-286.68,4797121.38
NTW - MILWAUKEE WI,-1845.74,3773239.11
NTW - HARRISBURG-LNCSTR-L,14979.98,2896850.19
NTW - MOBILE-PENSACOLA (F,-373.97,3065876.69
NTW - SAN DIEGO CA,2125.84,2998852.61
NTW - LAS VEGAS NV,1016.18,2688359.99
NTW - KANSAS CITY MO,-6245.28,8677481.35
NTW - MINNEAPOLIS-ST. PAU,5726.11,6541269.36
NTW - RALEIGH-DURHAM (FAY,705.26,2862983.62
NTW - MYRTLE BEACH-FLOREN,-4300.88,2757931.35
NTW - COLUMBIA SC,-4507.28,2312251.12
NTW - EL PASO (LAS CRUCES,321.39,2104783.24
NTW - SAN FRANCISCO-OAK-S,-95624.23,3244151.96
NTW - LUBBOCK TX,-35529.77,6856996.86
NTW - SAN FRANCISCO-OAK-S,184.65,3877771.45
"NTW - Albany, GA",-976.74,3283024.27
NTW - WORCESTER MA,8425.23,5756241.48
"NTW - Halethorpe, MD",-96941.56,7632250.64
NTW - Raleigh NC,-7471.91,4505117.81
"NTW - Dothan, AL",91.51,4402952.17
NTW - Florence SC,3668.63,4225507.62
"NTW - Gainesville, GA",349.23,3213409.29
"NTW - Greer, SC",6535.80,6029197.85
"NTW - Grovetown, GA",-5023.84,3893818.89
"NTW - Jacksonville, FL",-40206.89,6332525.09
"NTW - Macon, GA",787.77,3075488.95
"NTW - Orlando, FL",-6140.56,4882300.45
"NTW - Savannah, GA",-610.98,3423530.95
"NTW - Richmond, VA",3996.33,5816903.70
"NTW - WPB, FL",-2834.65,6480096.96
NTW - Roanoke VA,-16271.60,5229888.19
"NTW - Tampa, FL",1695.42,6468488.21
NTW - Birmingham AL,16862.64,6492945.46
NTW - Greensboro NC,-2681.12,5202430.40
"NTW - Norfolk, VA",-22412.35,5127886.41
"NTW - FT MYERS, FL",-12156.73,5619156.42
NTW - San Antonio TX,-43067.58,3931820.18
"NTW - Longview, TX",-20.38,1736831.26
"NTW - Auburn, ME",-41865.77,6707532.08
"NTW - Marietta, GA",-39410.48,3732159.27
"NTW - Charleston, SC",-17610.81,4449456.80
"NTW - Manassas, VA",-13436.07,5159642.79
NTW - Ocoee TN,-6221.57,2943562.76
"NTW - Rochester, NY",6396.90,6045761.50
"NTW - Colonie, NY",-13821.88,6742948.95
"NTW - Nashville, TN",926.21,6320336.16
"NTW - Montgomery, AL",-2711.19,6202035.13
"NTW - Wichita, KS",407.27,6410527.03
NTW - Santa Fe Springs CA,-14613.54,6256727.11
NTW - Glendale IL,5654.14,6518679.12
"NTW - Lansdale, PA",56628.31,6659318.38
"NTW - Houston,TX",-17700.89,4925160.99
NTW - Dallas TX,40325.38,11492545.98
"NTW - Lockbourne, OH",-14101.94,6712120.27
NTW - Benicia CA,288.58,14220175.15
NTW - Columbia MO,-7682.20,2467626.68
"NTW - Redlands, CA",-82274.24,19519008.59
"NTW - Fresno, CA",-3781.81,6637831.40
"NTW - Tolleson, AZ",-58449.97,14877507.46
NTW - Sacramento CA,-57852.92,8150662.03
"NTW - York, PA",-10494.62,2769383.18
NTW - Stow OH,15646.96,8515319.08
NTW - Bedford Park IL,1451.71,4283479.90
NTW - Dunmore PA,-75.17,4075963.38
"NTW - New Albany, IN",-6174.36,9153996.38
"NTW - Kansas City, MO",-482.29,2840840.62
NTW - DENVER CO,-2983.58,14983727.76
NTW - ANCHORAGE,4350.82,2425424.30
NTW - COLORADO SPRINGS CO,-311.73,4204952.47
NTW - MESQUITE TX,-71829.81,5558091.06
NTW - PROVIDENCE NEW BEDF,-2046.50,4603891.21
NTW - DENVER CO,-15994.90,6846987.22
NTW - JACKSON MS,-4464.54,5582713.29
NTW - PITTSBURGH,-6997.07,4880913.25
NTW - SALT LAKE CITY UT,-69186.97,14353426.25
NTW - TUCSON AZ,-800.30,4708613.88
NTW - DES MOINES AMES,276.39,3281858.01
NTW - LEXINGTON,828.55,3118450.59
NTW - DETROIT,-4585.76,6053561.06
NTW - LOUISVILLE KY,-46245.73,5894306.76
NTW - ATLANTA,-151756.75,5592130.42
NTW - ATLANTA,5032.36,7513976.22
NTW - HOUSTON TX,1058.28,9122995.70
NTW - HARTFORD & NEW HAVE,-1036.70,2691513.92
NTW - MIAMI-FT. LAUDERDAL,18980.90,6220451.56
NTW - KAPOLEI HI,-76473.64,3012033.92
NTW - OKLAHOMA CITY OK,9926.90,7844800.79
NTW - PORTLAND OR,4106.58,4299059.22
NTW - SPOKANE WA,44691.74,3062734.08
NTW - MEMPHIS TN,1630.01,3650740.66
NTW - CHARLOTTE,1377.42,5650551.43
NTW - LITTLE ROCK PINE BL,2039.23,2753677.10
NTW - CINCINNATI OH,-3134.36,3364401.38
NTW - HOUSTON TX,16177.49,4212095.31
NTW - BOSTON (MANCHESTER),-1086.63,2814529.76
NTW - SAN ANTONIO TX,-14265.04,4005196.02
NTW - OMAHA NE,-34404.12,3383455.89
NTW - AUSTIN TX,-3571.20,3356188.46
NTW - SEATTLE-TACOMA WA,-7027.76,2742512.02
NTW - GRAND RAPIDS KALMZO,69557.63,3326564.91
NTW - KNOXVILLE TN,-495.06,3891215.48
NTW - TOLEDO OH,-1962.98,3252533.61
NTW - DALLAS FT WORTH TX,22602.84,6229826.40
NTW - CHARLESTON-HUNTINGT,1700.14,2907759.25
NTW - INDIANAPOLIS IN,-2054.87,3045192.17
NTW - BURLINGTON PLATTSBU,-1726.66,6640317.93
NTW - TULSA OK,997.76,3392272.00
NTW - CHICAGO IL,919.82,2838985.71
NTW - CHICAGO IL,-952.48,4089223.57
NTW - ALBUQUERQUE SANTA F,50388.66,1739754.61
NTW - TALLAHASSEE THOMASV,7051.16,2402867.60
NTW - CHAMPAIGN&SPRNGFLD-,431.56,2990743.55
NTW - ST. LOUIS MO,2291.02,5225504.78
NTW - NEW YORK NJ,-1731.94,3841858.91
NTW - NEW YORK NY,-899.66,2631965.39
NTW - BATON ROUGE LA,4287.75,3630114.78
NTW - SPRINGFIELD MO,11451.52,8326399.01
NTW - SHREVEPORT LA,1491.95,2121352.44
NTW - LOS ANGELES CA,22777.97,4795605.51
NTW - MILWAUKEE WI,-521.94,3773546.32
NTW - HARRISBURG-LNCSTR-L,-6620.39,2896168.39
NTW - MOBILE-PENSACOLA (F,549.37,3067751.24
NTW - SAN DIEGO CA,2125.84,3146146.19
NTW - LAS VEGAS NV,735.66,2658308.64
NTW - KANSAS CITY MO,22572.35,8866161.07
NTW - MINNEAPOLIS-ST. PAU,5801.22,6533901.03
NTW - RALEIGH-DURHAM (FAY,7893.19,2965977.41
NTW - MYRTLE BEACH-FLOREN,-5063.24,2772137.55
NTW - COLUMBIA SC,-3868.93,2304943.74
NTW - EL PASO (LAS CRUCES,320.42,2086366.29
NTW - SAN FRANCISCO-OAK-S,0.00,3228272.20
NTW - LUBBOCK TX,-27511.20,6850342.97
NTW - SAN FRANCISCO-OAK-S,52802.32,3890927.95
"NTW - Albany, GA",-1523.75,3413989.91
NTW - WORCESTER MA,8341.21,5668793.17
"NTW - Halethorpe, MD",-9488.30,7282821.63
NTW - Raleigh NC,-16318.12,4392158.76
"NTW - Dothan, AL",-414.86,4464165.53
NTW - Florence SC,2059.36,4053713.29
"NTW - Gainesville, GA",656.77,3297909.59
"NTW - Greer, SC",8235.75,5646346.93
"NTW - Grovetown, GA",-5010.69,3875013.78
"NTW - Jacksonville, FL",-40958.18,6125446.67
"NTW - Macon, GA",-287.78,3147597.23
"NTW - Orlando, FL",-14177.96,4958707.66
"NTW - Savannah, GA",-1678.57,3671005.96
"NTW - Richmond, VA",3565.87,5655273.33
"NTW - WPB, FL",-2710.46,6526486.08
NTW - Roanoke VA,-18651.08,5150740.48
"NTW - Tampa, FL",1518.30,6524100.92
NTW - Birmingham AL,13626.83,6702020.91
NTW - Greensboro NC,-3774.67,5221010.77
"NTW - Norfolk, VA",-18453.89,4991388.28
"NTW - FT MYERS, FL",-32774.95,5678158.04
NTW - San Antonio TX,-55644.78,4251843.94
"NTW - Longview, TX",-2932.03,1808122.90
"NTW - Auburn, ME",-44630.05,6682091.50
"NTW - Marietta, GA",-35979.46,4033933.98
"NTW - Charleston, SC",44587.71,4327772.02
"NTW - Manassas, VA",-12768.77,4643461.32
NTW - Ocoee TN,-7192.07,2959332.05
"NTW - Rochester, NY",23695.38,5963037.95
"NTW - Colonie, NY",-18665.75,6487057.37
"NTW - Nashville, TN",336.35,5917533.41
"NTW - Montgomery, AL",-6507.74,5970001.43
"NTW - Wichita, KS",1141.07,6331560.49
NTW - Santa Fe Springs CA,-15223.01,6148139.66
NTW - Glendale IL,7106.65,6437570.45
"NTW - Lansdale, PA",52245.70,6616727.93
"NTW - Houston,TX",-24876.90,4724497.38
NTW - Dallas TX,38415.52,11669781.01
"NTW - Lockbourne, OH",-15052.10,6567256.28
NTW - Benicia CA,-3378.96,13679573.93
NTW - Columbia MO,-9945.05,2445874.26
"NTW - Redlands, CA",-84666.05,19158777.27
"NTW - Fresno, CA",-4341.82,6462215.16
"NTW - Tolleson, AZ",-55478.72,14550351.16
NTW - Sacramento CA,-53797.03,7786171.53
"NTW - York, PA",-11780.24,2670251.88
NTW - Stow OH,18083.46,8530477.05
NTW - Bedford Park IL,1437.57,4236895.02
NTW - Dunmore PA,275.44,4029542.74
"NTW - New Albany, IN",-8724.59,8883880.07
"NTW - Kansas City, MO",-352.46,2774597.66
NTW - DENVER CO,-2142.13,14638533.92
NTW - ANCHORAGE,4163.42,2465397.13
NTW - COLORADO SPRINGS CO,100.11,4052271.90
NTW - MESQUITE TX,-75321.96,6030194.75
NTW - PROVIDENCE NEW BEDF,-2288.44,4560743.50
NTW - DENVER CO,-22137.40,6816452.21
NTW - JACKSON MS,-5423.85,5375809.30
NTW - PITTSBURGH,-7457.74,4669819.69
NTW - SALT LAKE CITY UT,-63327.84,13925412.87
NTW - TUCSON AZ,-1866.27,4664557.71
NTW - DES MOINES AMES,276.39,3345143.00
NTW - LEXINGTON,812.04,3172573.26
NTW - DETROIT,-5703.54,5690924.53
NTW - LOUISVILLE KY,-47603.88,5723117.97
NTW - ATLANTA,-129306.28,5168447.90
NTW - ATLANTA,6635.44,7216551.12
NTW - HOUSTON TX,4579.38,9261903.87
NTW - HARTFORD & NEW HAVE,-1036.70,3051466.66
NTW - MIAMI-FT. LAUDERDAL,-22204.03,6350065.28
NTW - KAPOLEI HI,-49932.81,3473850.75
NTW - OKLAHOMA CITY OK,8927.58,7725276.10
NTW - PORTLAND OR,3868.44,4155538.95
NTW - SPOKANE WA,46779.07,3066298.23
NTW - MEMPHIS TN,1603.20,3544555.57
NTW - CHARLOTTE,15161.78,5735480.76
NTW - LITTLE ROCK PINE BL,2029.27,3056016.98
NTW - CINCINNATI OH,-3222.04,2022250.15
NTW - HOUSTON TX,11932.49,4419246.66
NTW - BOSTON (MANCHESTER),-913.94,2609260.59
NTW - SAN ANTONIO TX,-12303.31,3667606.36
NTW - OMAHA NE,-33604.21,3456813.43
NTW - AUSTIN TX,-9687.44,2850075.11
NTW - SEATTLE-TACOMA WA,-7027.76,2171241.57
NTW - GRAND RAPIDS KALMZO,70466.70,3258193.94
NTW - KNOXVILLE TN,-495.06,3644483.80
NTW - TOLEDO OH,-2202.07,3092781.06
NTW - DALLAS FT WORTH TX,22122.42,6169164.08
NTW - CHARLESTON-HUNTINGT,1579.16,2969090.27
NTW - INDIANAPOLIS IN,-4635.68,2729065.48
NTW - BURLINGTON PLATTSBU,-817.95,6815305.23
NTW - TULSA OK,544.77,3400279.99
NTW - CHICAGO IL,938.72,2610564.78
NTW - CHICAGO IL,-1089.48,4091294.84
NTW - ALBUQUERQUE SANTA F,50793.01,1756800.15
NTW - TALLAHASSEE THOMASV,7129.80,2390528.23
NTW - CHAMPAIGN&SPRNGFLD-,-588.48,2902773.01
NTW - ST. LOUIS MO,2562.66,5115715.28
NTW - NEW YORK NJ,-1731.94,3835037.60
NTW - NEW YORK NY,-764.64,2319998.27
NTW - BATON ROUGE LA,3488.06,3716016.05
NTW - SPRINGFIELD MO,8587.69,8438797.83
NTW - SHREVEPORT LA,1434.93,2246439.20
NTW - LOS ANGELES CA,22590.05,4703655.39
NTW - MILWAUKEE WI,-521.94,3586677.73
NTW - HARRISBURG-LNCSTR-L,-6714.81,2960778.61
NTW - MOBILE-PENSACOLA (F,4361.54,3071587.88
NTW - SAN DIEGO CA,3242.50,2924556.53
NTW - LAS VEGAS NV,370.19,2583115.69
NTW - KANSAS CITY MO,20686.58,8349116.30
NTW - MINNEAPOLIS-ST. PAU,6208.27,6323438.24
NTW - RALEIGH-DURHAM (FAY,7042.91,2327887.03
NTW - MYRTLE BEACH-FLOREN,-5063.24,2731414.62
NTW - COLUMBIA SC,-9157.29,2179001.18
NTW - EL PASO (LAS CRUCES,1035.85,2033464.90
NTW - SAN FRANCISCO-OAK-S,-324.04,2496384.40
NTW - LUBBOCK TX,-25482.85,6702056.63
NTW - SAN FRANCISCO-OAK-S,48902.09,3688828.63
"NTW - Albany, GA",23735.89,3338629.77
NTW - WORCESTER MA,8259.05,5541359.54
"NTW - Halethorpe, MD",-39241.33,7760171.72
NTW - Raleigh NC,-16892.02,4248365.62
"NTW - Dothan, AL",-1645.60,4489721.75
NTW - Florence SC,-420.59,4031317.08
"NTW - Gainesville, GA",63.65,3550196.65
"NTW - Greer, SC",481.85,5625824.48
"NTW - Grovetown, GA",721.99,3848676.11
"NTW - Jacksonville, FL",-37422.58,6458357.86
"NTW - Macon, GA",2456.18,3151746.43
"NTW - Orlando, FL",-17126.75,4909925.53
"NTW - Savannah, GA",-2356.08,3520657.95
"NTW - Richmond, VA",4792.09,5517123.86
"NTW - WPB, FL",-2743.33,6322112.41
NTW - Roanoke VA,-12581.69,5106968.33
"NTW - Tampa, FL",4377.24,6559142.05
NTW - Birmingham AL,13523.62,6998007.79
NTW - Greensboro NC,-3085.22,5149782.14
"NTW - Norfolk, VA",-47860.38,4797329.05
"NTW - FT MYERS, FL",-34912.72,5894560.86
NTW - San Antonio TX,-40673.78,4294891.40
"NTW - Longview, TX",-2798.79,1965221.66
"NTW - Auburn, ME",-47719.84,6508792.48
"NTW - Marietta, GA",-39752.55,4327157.99
"NTW - Charleston, SC",43017.76,4359905.62
"NTW - Manassas, VA",-15544.59,4440350.79
NTW - Ocoee TN,-9070.84,2834799.19
"NTW - Rochester, NY",23520.69,5816099.99
"NTW - Colonie, NY",-18447.16,6486229.08
"NTW - Nashville, TN",1034.36,5999777.77
"NTW - Montgomery, AL",-1726.85,6159610.27
"NTW - Wichita, KS",1141.07,6336664.28
NTW - Santa Fe Springs CA,-15970.27,6081043.80
NTW - Glendale IL,7143.07,6461912.27
"NTW - Lansdale, PA",49592.25,6539965.43
"NTW - Houston,TX",-26249.14,4810226.24
NTW - Dallas TX,38234.80,11728582.76
"NTW - Lockbourne, OH",-16028.42,6520861.58
NTW - Benicia CA,-4440.63,14814088.27
NTW - Columbia MO,-8158.89,2482033.77
"NTW - Redlands, CA",-78434.06,19250905.60
"NTW - Fresno, CA",808.24,6582626.19
"NTW - Tolleson, AZ",-55129.22,14978712.44
NTW - Sacramento CA,-58161.31,7636704.07
"NTW - York, PA",-9908.65,2627321.28
NTW - Stow OH,14420.28,8356787.27
NTW - Bedford Park IL,1437.57,4234721.37
NTW - Dunmore PA,275.44,4041653.52
"NTW - New Albany, IN",-6334.74,8647592.23
"NTW - Kansas City, MO",-279.13,2785424.76
NTW - DENVER CO,-3032.62,14388029.83
NTW - ANCHORAGE,7793.67,2564697.68
NTW - COLORADO SPRINGS CO,194.07,3940083.98
NTW - MESQUITE TX,-75321.96,6039817.40
NTW - PROVIDENCE NEW BEDF,-2288.44,4536314.42
NTW - DENVER CO,-50844.50,6888828.90
NTW - JACKSON MS,-5586.40,5424932.42
NTW - PITTSBURGH,-7661.29,4602606.09
NTW - SALT LAKE CITY UT,-77484.86,14431224.06
NTW - TUCSON AZ,-1866.27,4619189.31
NTW - DES MOINES AMES,274.24,3373708.36
NTW - LEXINGTON,581.32,3091390.05
NTW - DETROIT,-6157.99,5854826.18
NTW - LOUISVILLE KY,-50686.81,5551558.33
NTW - ATLANTA,-117590.36,5430524.08
NTW - ATLANTA,6069.07,7539247.88
NTW - HOUSTON TX,5159.70,9109026.27
NTW - HARTFORD & NEW HAVE,-1036.70,3117299.47
NTW - MIAMI-FT. LAUDERDAL,-22048.06,6202073.80
NTW - KAPOLEI HI,-42402.05,3615409.21
NTW - OKLAHOMA CITY OK,8979.51,7739221.63
NTW - PORTLAND OR,3868.44,4363244.01
NTW - SPOKANE WA,46779.07,3161369.12
NTW - MEMPHIS TN,709.34,3784438.17
NTW - CHARLOTTE,19143.35,5922503.17
NTW - LITTLE ROCK PINE BL,1824.34,2995277.69
NTW - CINCINNATI OH,-3222.04,26395.73
NTW - HOUSTON TX,8342.17,4657823.92
NTW - BOSTON (MANCHESTER),-913.94,2435879.04
NTW - SAN ANTONIO TX,-11426.88,3776791.25
NTW - OMAHA NE,-31597.36,3323696.17
NTW - AUSTIN TX,-8340.19,2898294.62
NTW - SEATTLE-TACOMA WA,-7521.86,1225707.10
NTW - GRAND RAPIDS KALMZO,69886.59,3348874.36
NTW - KNOXVILLE TN,-1400.95,3608389.00
NTW - TOLEDO OH,-3094.03,3085461.34
NTW - DALLAS FT WORTH TX,24101.93,6211625.41
NTW - CHARLESTON-HUNTINGT,1493.70,3265776.64
NTW - INDIANAPOLIS IN,-32742.02,2591779.61
NTW - BURLINGTON PLATTSBU,-782.44,6747355.76
NTW - TULSA OK,-187.96,3671802.96
NTW - CHICAGO IL,1639.75,2599693.90
NTW - CHICAGO IL,-1089.48,4114893.98
NTW - ALBUQUERQUE SANTA F,50675.46,1826223.73
NTW - TALLAHASSEE THOMASV,7338.25,2406528.73
NTW - CHAMPAIGN&SPRNGFLD-,-588.48,2755245.81
NTW - ST. LOUIS MO,2705.40,5190306.01
NTW - NEW YORK NJ,-2055.13,3797673.24
NTW - NEW YORK NY,-831.25,2304137.27
NTW - BATON ROUGE LA,2349.12,3969649.91
NTW - SPRINGFIELD MO,7675.54,8445537.15
NTW - SHREVEPORT LA,1434.93,2294031.88
NTW - LOS ANGELES CA,22590.05,4632839.17
NTW - MILWAUKEE WI,-1701.50,3667714.94
NTW - HARRISBURG-LNCSTR-L,-6714.81,3190275.03
NTW - MOBILE-PENSACOLA (F,4091.70,3240909.95
NTW - SAN DIEGO CA,3182.69,3060628.09
NTW - LAS VEGAS NV,-7980.33,2548660.81
NTW - KANSAS CITY MO,19457.00,8645244.08
NTW - MINNEAPOLIS-ST. PAU,6208.27,6215040.46
NTW - RALEIGH-DURHAM (FAY,11828.52,2216.78
NTW - MYRTLE BEACH-FLOREN,-5063.24,2648742.29
NTW - COLUMBIA SC,-8830.57,2198092.83
NTW - EL PASO (LAS CRUCES,1035.85,2030747.49
NTW - SAN FRANCISCO-OAK-S,-452.08,852845.59
NTW - LUBBOCK TX,-25687.34,6993654.56
NTW - SAN FRANCISCO-OAK-S,49000.69,3516625.25
"NTW - Albany, GA",21999.31,3324979.96
NTW - WORCESTER MA,9102.95,5449783.26
"NTW - Halethorpe, MD",-22146.37,8442951.52
NTW - Raleigh NC,-18083.07,2236858.84
"NTW - Dothan, AL",-2795.19,4623223.80
NTW - Florence SC,-1027.42,4078576.41
"NTW - Gainesville, GA",-1497.56,3405446.61
"NTW - Greer, SC",3177.34,5858581.81
"NTW - Grovetown, GA",767.51,3864996.61
"NTW - Jacksonville, FL",-37242.04,6314886.78
"NTW - Macon, GA",3718.33,3298111.46
"NTW - Orlando, FL",-18676.96,5005919.09
"NTW - Savannah, GA",-1593.09,3592361.44
"NTW - Richmond, VA",4382.55,5778322.94
"NTW - WPB, FL",-3202.65,6410756.78
NTW - Roanoke VA,-12581.69,5175082.73
"NTW - Tampa, FL",3595.95,6496867.03
NTW - Birmingham AL,17101.73,6944266.11
NTW - Greensboro NC,-3533.69,5256177.80
"NTW - Norfolk, VA",-52064.25,4924214.41
"NTW - FT MYERS, FL",-42099.23,6216564.08
NTW - San Antonio TX,-52901.92,4486583.79
"NTW - Longview, TX",-4405.32,1908261.62
"NTW - Auburn, ME",-49886.85,6324153.04
"NTW - Marietta, GA",24912.30,4484800.67
"NTW - Charleston, SC",50181.74,4513260.32
"NTW - Manassas, VA",-17689.03,4645009.90
NTW - Ocoee TN,-9199.74,3108677.00
"NTW - Rochester, NY",62601.69,5688206.18
"NTW - Colonie, NY",-20687.27,6477218.47
"NTW - Nashville, TN",1884.90,6237278.81
"NTW - Montgomery, AL",-9749.19,6265267.54
"NTW - Wichita, KS",1141.07,6336126.10
NTW - Santa Fe Springs CA,-18413.16,6000754.24
NTW - Glendale IL,7254.14,6358407.95
"NTW - Lansdale, PA",64181.87,6730904.19
"NTW - Houston,TX",-25278.17,4861638.87
NTW - Dallas TX,32672.10,11673163.34
"NTW - Lockbourne, OH",-17285.67,6586137.99
NTW - Benicia CA,-20800.19,14869878.79
NTW - Columbia MO,-7845.66,2507933.66
"NTW - Redlands, CA",-65617.13,19384533.16
"NTW - Fresno, CA",1059.29,6844333.67
"NTW - Tolleson, AZ",-49444.42,14845098.43
NTW - Sacramento CA,-49404.09,7288097.90
"NTW - York, PA",-10674.57,2580827.84
NTW - Stow OH,21056.89,8349830.37
NTW - Bedford Park IL,1397.64,4281781.47
NTW - Dunmore PA,119.92,3982645.39
"NTW - New Albany, IN",-4719.67,8544757.72
"NTW - Kansas City, MO",-279.13,2748607.42
NTW - DENVER CO,-4050.45,14063954.29
NTW - ANCHORAGE,7832.24,2731631.38
NTW - COLORADO SPRINGS CO,5496.82,3920216.23
NTW - MESQUITE TX,-70058.15,6214968.27
NTW - PROVIDENCE NEW BEDF,-3301.78,4514323.64
NTW - DENVER CO,-53699.22,6970978.38
NTW - JACKSON MS,-6573.12,5485038.44
NTW - PITTSBURGH,-8045.19,4834424.13
NTW - SALT LAKE CITY UT,-78523.89,14964886.64
NTW - TUCSON AZ,-1932.91,4710995.98
NTW - DES MOINES AMES,274.24,3521637.95
NTW - LEXINGTON,581.32,3136101.15
NTW - DETROIT,-6245.83,5934722.39
NTW - LOUISVILLE KY,-53410.85,5679222.65
NTW - ATLANTA,-72402.88,5518035.19
NTW - ATLANTA,6410.50,7467870.13
NTW - HOUSTON TX,8719.52,9276973.84
NTW - HARTFORD & NEW HAVE,-1272.42,3099604.68
NTW - MIAMI-FT. LAUDERDAL,-27042.08,6672358.16
NTW - KAPOLEI HI,-41701.80,3546364.35
NTW - OKLAHOMA CITY OK,7420.50,7805293.86
NTW - PORTLAND OR,3400.44,4443852.40
NTW - SPOKANE WA,46431.04,3202270.94
NTW - MEMPHIS TN,619.31,3745710.96
NTW - CHARLOTTE,17708.86,6210844.55
NTW - LITTLE ROCK PINE BL,1331.85,3201950.52
NTW - CINCINNATI OH,-3222.04,25699.01
NTW - HOUSTON TX,7638.10,4699479.91
NTW - BOSTON (MANCHESTER),-913.94,2464202.23
NTW - SAN ANTONIO TX,-7624.09,3895851.87
NTW - OMAHA NE,-34262.87,3425494.83
NTW - AUSTIN TX,-7500.44,2623947.09
NTW - SEATTLE-TACOMA WA,-7521.86,4585.31
NTW - GRAND RAPIDS KALMZO,69389.79,3223792.54
NTW - KNOXVILLE TN,591.81,3618641.65
NTW - TOLEDO OH,-3232.84,3195512.90
NTW - DALLAS FT WORTH TX,23125.77,6435501.43
NTW - CHARLESTON-HUNTINGT,1493.70,3371996.05
NTW - INDIANAPOLIS IN,-33308.21,2337894.21
NTW - BURLINGTON PLATTSBU,-5761.69,6697951.00
NTW - TULSA OK,16.26,3649063.18
NTW - CHICAGO IL,1639.75,2778443.50
NTW - CHICAGO IL,-1119.26,4200818.96
NTW - ALBUQUERQUE SANTA F,50173.62,1805511.90
NTW - TALLAHASSEE THOMASV,7820.89,2426087.86
NTW - CHAMPAIGN&SPRNGFLD-,-588.48,2600681.96
NTW - ST. LOUIS MO,2496.19,5115187.90
NTW - NEW YORK NJ,-1500.82,3959906.49
NTW - NEW YORK NY,-910.84,2374545.73
NTW - BATON ROUGE LA,2112.10,4184450.10
NTW - SPRINGFIELD MO,18495.87,8344997.28
NTW - SHREVEPORT LA,987.42,2255766.54
NTW - LOS ANGELES CA,22114.04,4751009.95
NTW - MILWAUKEE WI,-2277.72,3881485.90
NTW - HARRISBURG-LNCSTR-L,-6537.06,3182374.56
NTW - MOBILE-PENSACOLA (F,3467.88,3220513.73
NTW - SAN DIEGO CA,3871.64,3148536.10
NTW - LAS VEGAS NV,-8058.52,2666830.00
NTW - KANSAS CITY MO,18600.11,8617984.48
NTW - MINNEAPOLIS-ST. PAU,6676.67,6425137.87
NTW - RALEIGH-DURHAM (FAY,11093.00,1422.77
NTW - MYRTLE BEACH-FLOREN,-5063.24,2827575.09
NTW - COLUMBIA SC,-9002.66,2289189.39
NTW - EL PASO (LAS CRUCES,-505.86,2046114.44
NTW - SAN FRANCISCO-OAK-S,-4667.99,0.00
NTW - LUBBOCK TX,-28377.11,6934154.91
NTW - SAN FRANCISCO-OAK-S,42589.84,4325610.38
"NTW - Albany, GA",-2838.09,3562931.08
NTW - WORCESTER MA,9969.44,5489946.54
"NTW - Halethorpe, MD",-20634.94,8456973.35
NTW - Raleigh NC,-18692.82,1624751.94
"NTW - Dothan, AL",-1772.25,4647847.43
NTW - Florence SC,4446.39,4097438.13
"NTW - Gainesville, GA",562.95,3479435.11
"NTW - Greer, SC",6190.28,6006279.36
"NTW - Grovetown, GA",767.51,3688617.48
"NTW - Jacksonville, FL",-37262.81,6389249.40
"NTW - Macon, GA",3744.81,3246647.00
"NTW - Orlando, FL",-15718.97,5123528.69
"NTW - Savannah, GA",-798.72,3685362.55
"NTW - Richmond, VA",4393.39,5674860.12
"NTW - WPB, FL",-3492.01,6574905.23
NTW - Roanoke VA,-27919.23,5050108.09
"NTW - Tampa, FL",2665.71,6606703.75
NTW - Birmingham AL,-10159.28,7132942.76
NTW - Greensboro NC,-4605.42,5538179.20
"NTW - Norfolk, VA",-55787.84,4911100.77
"NTW - FT MYERS, FL",-45858.13,6195200.94
NTW - San Antonio TX,-68943.27,4594475.08
"NTW - Longview, TX",-271.23,1833642.49
"NTW - Auburn, ME",-52166.35,6398864.24
"NTW - Marietta, GA",-34004.99,4604262.97
"NTW - Charleston, SC",5379.26,4445243.64
"NTW - Manassas, VA",-14267.61,4749040.38
NTW - Ocoee TN,-11525.88,2914351.75
"NTW - Rochester, NY",-1862.38,5636217.20
"NTW - Colonie, NY",-20686.20,6635318.37
"NTW - Nashville, TN",2895.46,6132954.37
"NTW - Montgomery, AL",248.39,6266184.89
"NTW - Wichita, KS",1141.07,6179704.64
NTW - Santa Fe Springs CA,-20958.19,6058836.74
NTW - Glendale IL,7422.02,6389725.55
"NTW - Lansdale, PA",64593.81,6883664.04
