WH Name,Variacion absoluta,inventario
"NTW - Tampa, FL",18757.46,7755095.47
NTW - Birmingham AL,288454.00,7551418.33
NTW - Greensboro NC,12744.28,5846676.83
"NTW - Norfolk, VA",64790.47,4900955.82
"NTW - FT MYERS, FL",22550.75,6669687.99
NTW - San Antonio TX,6724.90,4301594.10
"NTW - Auburn, ME",51034.67,7328638.90
NTW - Ocoee TN,16229.67,2841980.36
"NTW - Marietta, GA",54800.18,4707184.85
"NTW - Charleston, SC",12171.67,5467647.70
"NTW - Rochester, NY",515277.72,7339602.19
"NTW - Colonie, NY",19907.01,7594523.52
"NTW - Nashville, TN",5749.11,7148055.20
"NTW - Wichita, KS",1134.19,7373978.82
NTW - Santa Fe Springs CA,4135.65,5304613.17
NTW - Glendale IL,35829.38,6961358.70
"NTW - Lansdale, PA",56124.40,8095772.27
"NTW - Houston,TX",9685.92,5184535.14
NTW - Dallas TX,68163.80,15419316.50
"NTW - Lockbourne, OH",47731.94,7403960.75
NTW - Benicia CA,2977.62,16812237.28
NTW - Columbia MO,21250.68,2591421.23
"NTW - Redlands, CA",95420.64,23877817.38
"NTW - Fresno, CA",25065.10,4712249.61
"NTW - Tolleson, AZ",96811.58,17850718.70
NTW - Sacramento CA,520505.86,9851043.10
"NTW - York, PA",23987.78,3012657.61
NTW - Stow OH,82642.18,9293808.20
NTW - Bedford Park IL,1948.35,4935634.89
NTW - Dunmore PA,4907.94,4469090.97
"NTW - Miami, FL",10556.14,4501720.83
"NTW - New Albany, IN",19033.38,9487569.82
"NTW - Kansas City, MO",2857.65,2306140.04
NTW - DENVER CO,9089.06,15863783.93
NTW - ANCHORAGE,5910.55,2044228.40
NTW - COLORADO SPRINGS CO,9571.10,4773976.67
NTW - MESQUITE TX,55713.60,6596467.92
NTW - PROVIDENCE NEW BEDF,1866.30,4859155.97
NTW - DENVER CO,21389.13,7488862.79
NTW - JACKSON MS,5038.82,6191365.11
NTW - PITTSBURGH,527.28,5455393.32
NTW - SALT LAKE CITY UT,93546.96,15901956.59
NTW - TUCSON AZ,328.65,4854197.33
NTW - DES MOINES AMES,0.00,2695304.37
NTW - LEXINGTON,457.62,2765509.77
NTW - DETROIT,5425.81,6310165.31
NTW - LOUISVILLE KY,58435.15,6631741.61
NTW - ATLANTA,9221.54,8675114.86
NTW - HOUSTON TX,4185.29,9532825.68
NTW - HARTFORD & NEW HAVE,0.00,2586002.11
NTW - KAPOLEI HI,67346.81,3614191.44
NTW - OKLAHOMA CITY OK,12106.57,9565850.26
NTW - PORTLAND OR,0.00,4959681.63
NTW - SPOKANE WA,2415.05,3841012.88
NTW - MEMPHIS TN,4613.37,4040379.19
NTW - CINCINNATI OH,502.33,4050247.84
NTW - HOUSTON TX,7391.78,4567622.17
NTW - BOSTON (MANCHESTER),0.00,3324082.14
NTW - SAN ANTONIO TX,19207.78,4261330.29
NTW - OMAHA NE,136667.54,3876553.50
NTW - AUSTIN TX,9923.23,3980783.03
NTW - SEATTLE-TACOMA WA,0.00,2290040.22
NTW - GRAND RAPIDS KALMZO,4894.98,3760857.63
NTW - KNOXVILLE TN,4570.02,3801941.58
NTW - TOLEDO OH,6607.86,3602771.80
NTW - DALLAS FT WORTH TX,43100.97,6599839.16
NTW - CHARLESTON-HUNTINGT,482.97,2562714.00
NTW - INDIANAPOLIS IN,663.93,2789209.47
NTW - ATLANTA GA,495.45,2300442.15
NTW - BURLINGTON PLATTSBU,6096.92,7413938.95
NTW - TULSA OK,1965.44,3373664.56
NTW - CHICAGO IL,1109.06,3464280.31
NTW - CHICAGO IL,0.00,4249421.34
NTW - ALBUQUERQUE SANTA F,816.10,1748103.73
NTW - TALLAHASSEE THOMASV,4503.65,2343969.88
NTW - CHAMPAIGN&SPRNGFLD-,478.83,3055422.26
NTW - LITTLE ROCK PINE BL,1999.47,2961618.59
NTW - CHARLOTTE,236188.34,6281324.05
NTW - ST. LOUIS MO,7023.45,5886911.53
NTW - NEW YORK NJ,1052.93,4591693.61
NTW - NEW YORK NY,6656.33,3001685.24
NTW - BATON ROUGE LA,3251.10,3871773.12
NTW - SPRINGFIELD MO,5250.59,9553457.76
NTW - SHREVEPORT LA,4748.85,2153784.69
NTW - LOS ANGELES CA,553.58,5495759.94
NTW - MIAMI-FT. LAUDERDAL,5624.38,3668689.58
NTW - MILWAUKEE WI,604.09,4010475.60
NTW - HARRISBURG-LNCSTR-L,242.50,3563032.82
NTW - MOBILE-PENSACOLA (F,298.02,3178103.16
NTW - SAN DIEGO CA,0.00,3636774.33
NTW - LAS VEGAS NV,396.36,3004631.16
NTW - KANSAS CITY MO,39658.04,10825904.79
NTW - MINNEAPOLIS-ST. PAU,3564.00,7756168.48
NTW - RALEIGH-DURHAM (FAY,864.51,3411017.41
NTW - MYRTLE BEACH-FLOREN,1841.86,2825429.66
NTW - COLUMBIA SC,8971.70,2903785.96
NTW - EL PASO (LAS CRUCES,980.43,2053301.13
NTW - SAN FRANCISCO-OAK-S,7892.56,3614429.69
NTW - LUBBOCK TX,16547.03,6883044.41
NTW - SAN FRANCISCO-OAK-S,73.47,560876.71
NTW - WORCESTER MA,6420.81,5943330.81
"NTW - Halethorpe, MD",-61927.04,8481260.49
NTW - Raleigh NC,-7611.97,4709766.74
"NTW - Dothan, AL",-1444.32,4407040.93
NTW - Florence SC,-7951.26,4091488.31
"NTW - Gainesville, GA",-1961.79,3299815.09
"NTW - Greer, SC",3553.06,6099192.63
"NTW - Grovetown, GA",-5529.98,3979563.15
"NTW - Jacksonville, FL",-20611.51,6738564.58
"NTW - Macon, GA",-986.48,2996282.10
"NTW - Orlando, FL",2124.20,5081758.34
"NTW - Richmond, VA",-5363.32,6012335.73
"NTW - WPB, FL",40994.26,6537220.29
NTW - Roanoke VA,-21487.72,5453378.05
"NTW - Tampa, FL",7797.25,6746772.20
NTW - Birmingham AL,10651.64,6322823.67
NTW - Greensboro NC,3290.84,5259930.62
"NTW - Norfolk, VA",-11312.71,5235370.86
"NTW - FT MYERS, FL",693.29,5685352.60
NTW - San Antonio TX,-47016.87,4060448.26
"NTW - Auburn, ME",-36623.90,6494913.89
"NTW - Marietta, GA",-24944.30,3930932.87
"NTW - Charleston, SC",153.36,4534744.18
"NTW - Manassas, VA",269.83,5581817.93
NTW - Ocoee TN,-4293.22,3051733.62
"NTW - Rochester, NY",8176.74,6016660.62
"NTW - Colonie, NY",-8499.76,7084009.80
"NTW - Nashville, TN",1596.01,6135994.29
"NTW - Montgomery, AL",10476.87,6260368.16
"NTW - Wichita, KS",-2063.74,6643381.59
NTW - Santa Fe Springs CA,-9093.12,6290208.25
NTW - Glendale IL,1547.91,6797859.37
"NTW - Lansdale, PA",9412.36,6970586.67
"NTW - Houston,TX",-9805.87,5078203.44
NTW - Dallas TX,1173.07,11884279.50
"NTW - Lockbourne, OH",-10327.62,6836751.16
NTW - Benicia CA,90690.25,15118657.79
NTW - Columbia MO,-3494.44,2546105.73
"NTW - Redlands, CA",-80129.65,19695710.61
"NTW - Fresno, CA",-1725.56,7080955.68
"NTW - Tolleson, AZ",-48702.14,15661782.51
NTW - Sacramento CA,-53509.47,8576417.44
"NTW - York, PA",-10525.03,2797118.47
NTW - Stow OH,16195.74,8584529.40
NTW - Bedford Park IL,271.67,4504462.83
NTW - Dunmore PA,408.42,4122242.91
"NTW - Miami, FL",-9785.82,2090885.38
"NTW - New Albany, IN",-4123.34,9548199.84
"NTW - Kansas City, MO",-653.01,3019614.19
NTW - DENVER CO,-7240.10,15799516.64
NTW - ANCHORAGE,-181.99,2090200.11
NTW - COLORADO SPRINGS CO,-192.87,4339316.02
NTW - MESQUITE TX,-70961.65,6009020.58
NTW - PROVIDENCE NEW BEDF,-3194.79,4727612.16
NTW - DENVER CO,-9439.90,7406061.61
NTW - JACKSON MS,-5195.99,5676672.92
NTW - PITTSBURGH,-9121.78,5054226.27
NTW - SALT LAKE CITY UT,76841.15,14937784.87
NTW - TUCSON AZ,-3706.14,4620762.07
NTW - DES MOINES AMES,0.00,3021622.10
NTW - LEXINGTON,494.64,3143179.92
NTW - DETROIT,-4777.71,5640319.65
NTW - LOUISVILLE KY,-36510.95,6315568.77
NTW - ATLANTA,5914.28,7765147.09
NTW - HOUSTON TX,-2975.24,9341013.19
NTW - HARTFORD & NEW HAVE,-970.65,2741651.78
NTW - KAPOLEI HI,-31352.17,3065532.19
NTW - OKLAHOMA CITY OK,11736.02,8063959.03
NTW - PORTLAND OR,4241.05,4567594.28
NTW - SPOKANE WA,-3908.80,3204235.25
NTW - MEMPHIS TN,2473.03,3704330.64
NTW - CHARLOTTE,16085.38,5605059.13
NTW - LITTLE ROCK PINE BL,843.69,2852792.62
NTW - CINCINNATI OH,-2885.84,3598544.15
NTW - HOUSTON TX,3753.85,4464812.83
NTW - BOSTON (MANCHESTER),0.00,2833390.14
NTW - SAN ANTONIO TX,-6580.29,4304740.88
NTW - OMAHA NE,-38497.25,3593554.81
NTW - AUSTIN TX,-1055.68,3835010.19
NTW - SEATTLE-TACOMA WA,-5770.30,2963815.21
NTW - GRAND RAPIDS KALMZO,-134.87,3371666.07
NTW - KNOXVILLE TN,-1860.22,3828745.70
NTW - TOLEDO OH,-3080.00,3237736.77
NTW - DALLAS FT WORTH TX,3699.73,6580384.33
NTW - CHARLESTON-HUNTINGT,1257.96,2833942.92
NTW - INDIANAPOLIS IN,159.10,3221328.83
NTW - ATLANTA GA,8095.52,2217286.47
NTW - BURLINGTON PLATTSBU,-347.28,6762181.18
NTW - TULSA OK,1784.54,3176926.28
NTW - CHICAGO IL,706.82,2933671.03
NTW - CHICAGO IL,-234.64,4270331.53
NTW - ALBUQUERQUE SANTA F,1412.66,1892322.60
NTW - TALLAHASSEE THOMASV,8003.09,2439333.72
NTW - CHAMPAIGN&SPRNGFLD-,-74.69,3011325.66
NTW - ST. LOUIS MO,8261.43,5097122.50
NTW - NEW YORK NJ,-1654.00,3745274.96
NTW - NEW YORK NY,477.23,2705943.73
NTW - BATON ROUGE LA,3170.81,3438662.24
NTW - SPRINGFIELD MO,5967.65,8578551.38
NTW - SHREVEPORT LA,3159.80,2187084.99
NTW - LOS ANGELES CA,-298.21,4840071.96
NTW - MIAMI-FT. LAUDERDAL,-1960.64,1702641.37
NTW - MILWAUKEE WI,-217.75,3835023.66
NTW - HARRISBURG-LNCSTR-L,-5047.82,2747183.70
NTW - MOBILE-PENSACOLA (F,-507.72,3236105.07
NTW - SAN DIEGO CA,-18.19,3152723.18
NTW - LAS VEGAS NV,1169.66,2727498.79
NTW - KANSAS CITY MO,-1614.85,8694509.97
NTW - MINNEAPOLIS-ST. PAU,4301.71,6708064.74
NTW - RALEIGH-DURHAM (FAY,803.04,2960738.10
NTW - MYRTLE BEACH-FLOREN,-4711.69,2701143.60
NTW - COLUMBIA SC,-1489.15,2156427.21
NTW - EL PASO (LAS CRUCES,432.74,2040352.70
NTW - SAN FRANCISCO-OAK-S,0.00,3360240.94
NTW - LUBBOCK TX,-14349.79,7061784.30
NTW - SAN FRANCISCO-OAK-S,1159.79,3973660.73
"NTW - Albany, GA",-2830.73,3333499.18
NTW - WORCESTER MA,7862.59,5874760.47
"NTW - Halethorpe, MD",-72304.73,8253125.96
NTW - Raleigh NC,-6897.45,4684150.57
"NTW - Dothan, AL",-1860.76,4346847.58
NTW - Florence SC,-5281.81,4196633.25
"NTW - Gainesville, GA",-1391.83,3327782.27
"NTW - Greer, SC",3651.07,6371720.52
"NTW - Grovetown, GA",-5015.38,3978429.45
"NTW - Jacksonville, FL",-25559.48,6598522.93
"NTW - Macon, GA",548.99,3061850.70
"NTW - Orlando, FL",-2348.20,5203705.40
"NTW - Savannah, GA",10708.39,3559791.50
"NTW - Richmond, VA",1160.65,5964138.57
"NTW - WPB, FL",39345.78,6481036.24
NTW - Roanoke VA,-17835.89,5417185.40
